epoch,step,test_dec1_cross_entropy,test_dec1_self_entropy,test_dec2_cross_entropy,test_dec2_self_entropy,test_loss,test_loss_X,test_loss_Y,test_mae,test_mae_X,test_mae_Y,test_notears,test_r2_X,test_r2_Y,train_dec1_cross_entropy,train_dec1_self_entropy,train_dec2_cross_entropy,train_dec2_self_entropy,train_loss,train_loss_X,train_loss_Y,train_mae,train_mae_X,train_mae_Y,train_notears,train_r2_X,train_r2_Y,val_dec1_cross_entropy,val_dec1_self_entropy,val_dec2_cross_entropy,val_dec2_self_entropy,val_loss,val_loss_X,val_loss_Y,val_mae,val_mae_X,val_mae_Y,val_notears,val_r2_X,val_r2_Y
0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.703267812728882,0.6780566573143005,0.6783221364021301,0.678578794002533,7709.74072265625,0.03093058615922928,0.02760472148656845,0.13839654624462128,0.1423652023077011,0.13442787528038025,0.0,-0.2607422173023224,-0.138763427734375
0,199,,,,,,,,,,,,,,-2.316037178039551,0.6658546328544617,0.33181869983673096,0.6710159778594971,249.12197875976562,0.08326415717601776,0.06816922873258591,0.21591521799564362,0.2230832874774933,0.20874682068824768,0.0,-2.4437549114227295,-1.8765257596969604,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.218424081802368,0.6801111102104187,0.6823241710662842,0.6781165599822998,16172.85546875,0.02751263603568077,0.025637565180659294,0.13120561838150024,0.1337316930294037,0.1286795735359192,0.0,-0.11851325631141663,-0.056064508855342865
1,399,,,,,,,,,,,,,,-2.843672752380371,0.6688601970672607,0.3771340250968933,0.6695674657821655,429.6905517578125,0.0419716015458107,0.0336364284157753,0.15570825338363647,0.16399461030960083,0.14742188155651093,0.0,-0.7365255951881409,-0.41070476174354553,,,,,,,,,,,,,
2,599,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5298328399658203,0.6826961040496826,0.6733946204185486,0.6772001385688782,11875.7802734375,0.027147896587848663,0.02579626999795437,0.13084611296653748,0.13260573148727417,0.1290864497423172,0.0,-0.10336783528327942,-0.06303411722183228
2,599,,,,,,,,,,,,,,-3.2298293113708496,0.6728622913360596,0.3265976011753082,0.6707305312156677,839.8519287109375,0.03390021249651909,0.029872100800275803,0.1436166614294052,0.14827361702919006,0.13895976543426514,0.0,-0.39725571870803833,-0.25232964754104614,,,,,,,,,,,,,
3,799,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.601548194885254,0.6843010783195496,0.6677266955375671,0.6769840121269226,13817.1962890625,0.026104766875505447,0.025208402425050735,0.1287781000137329,0.13002805411815643,0.1275281459093094,0.0,-0.06022708863019943,-0.03814346343278885
3,799,,,,,,,,,,,,,,-3.4595389366149902,0.6744058132171631,0.2923574149608612,0.6715768575668335,627.5990600585938,0.030395632609725,0.028050431981682777,0.1373770833015442,0.14022991061210632,0.13452433049678802,0.0,-0.2560141384601593,-0.17603729665279388,,,,,,,,,,,,,
4,999,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.723191738128662,0.6861452460289001,0.6854646801948547,0.6794747710227966,15348.4560546875,0.026161689311265945,0.025499040260910988,0.12915058434009552,0.12999758124351501,0.12830357253551483,0.0,-0.06260773539543152,-0.05048062279820442
4,999,,,,,,,,,,,,,,-3.4399826526641846,0.675336480140686,0.3264216482639313,0.6724843382835388,747.1693725585938,0.028506305068731308,0.0268514733761549,0.13430729508399963,0.13633093237876892,0.13228367269039154,0.0,-0.17717082798480988,-0.12637640535831451,,,,,,,,,,,,,
5,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.821272373199463,0.6875706315040588,0.6648369431495667,0.6816970109939575,15221.103515625,0.025913124904036522,0.025123968720436096,0.12843376398086548,0.12951010465621948,0.12735745310783386,0.0,-0.05234336853027344,-0.03441328927874565
5,1199,,,,,,,,,,,,,,-3.550393581390381,0.6770918965339661,0.4143204987049103,0.6742624640464783,843.7196044921875,0.027910416945815086,0.026395106688141823,0.13300058245658875,0.13498111069202423,0.13102014362812042,0.0,-0.15406657755374908,-0.11011063307523727,,,,,,,,,,,,,
6,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6647121906280518,0.6887466907501221,0.6751587390899658,0.6820956468582153,14974.34765625,0.02548101171851158,0.02526424638926983,0.1279447376728058,0.12819641828536987,0.1276930272579193,0.0,-0.0344235897064209,-0.04048715531826019
