epoch,step,test_loss,test_loss_X,test_loss_Y,test_mae,test_mae_X,test_mae_Y,test_notears,test_r2_X,test_r2_Y,train_loss,train_loss_X,train_loss_Y,train_mae,train_mae_X,train_mae_Y,train_notears,train_r2_X,train_r2_Y,val_loss,val_loss_X,val_loss_Y,val_mae,val_mae_X,val_mae_Y,val_notears,val_r2_X,val_r2_Y
0,23,,,,,,,,,,,,,,,,,,,0.9304428696632385,0.6984674334526062,0.2319755107164383,0.5388438105583191,0.7382588386535645,0.45259666442871094,0.0,-3.5287182331085205,-7.706749439239502
0,23,,,,,,,,,,1.122446894645691,0.7489703297615051,0.3734763264656067,0.6239681243896484,0.760594367980957,0.5648771524429321,0.0,-3.867114543914795,-13.3767671585083,,,,,,,,,
1,47,,,,,,,,,,,,,,,,,,,0.6798055768013,0.5869155526161194,0.09288998693227768,0.3686579167842865,0.626812756061554,0.257005900144577,0.0,-2.8058881759643555,-2.4798319339752197
1,47,,,,,,,,,,0.8108583688735962,0.6206769347190857,0.19018137454986572,0.46579524874687195,0.6683256030082703,0.37820082902908325,0.0,-3.0339479446411133,-6.310914516448975,,,,,,,,,
2,71,,,,,,,,,,,,,,,,,,,0.5618492960929871,0.5141902565956116,0.04765911027789116,0.29593273997306824,0.5897384285926819,0.16886180639266968,0.0,-2.33424973487854,-0.7787434458732605
2,71,,,,,,,,,,0.6813080310821533,0.558174192905426,0.12313386052846909,0.38638922572135925,0.6272031664848328,0.2822372317314148,0.0,-2.624992609024048,-3.754502534866333,,,,,,,,,
3,95,,,,,,,,,,,,,,,,,,,0.4907416105270386,0.45427581667900085,0.03646578639745712,0.2655966579914093,0.5418400168418884,0.14612136781215668,0.0,-1.9457396268844604,-0.35763657093048096
3,95,,,,,,,,,,0.6070366501808167,0.5043982267379761,0.10263844579458237,0.35031142830848694,0.5893316268920898,0.24693520367145538,0.0,-2.2774178981781006,-2.947118043899536,,,,,,,,,
4,119,,,,,,,,,,,,,,,,,,,0.4372238218784332,0.40383973717689514,0.03338410332798958,0.24887101352214813,0.5001981258392334,0.1401720494031906,0.0,-1.6186800003051758,-0.24205493927001953
4,119,,,,,,,,,,0.5484715700149536,0.4567263424396515,0.0917452946305275,0.3286309540271759,0.5530688166618347,0.2315615862607956,0.0,-1.967527985572815,-2.5508344173431396,,,,,,,,,
5,143,,,,,,,,,,,,,,,,,,,0.3902486264705658,0.3589235544204712,0.031325068324804306,0.23460298776626587,0.4616083800792694,0.13642315566539764,0.0,-1.3274105787277222,-0.16495996713638306
5,143,,,,,,,,,,0.49550798535346985,0.4119300842285156,0.08357781171798706,0.31084445118904114,0.5168586373329163,0.22174331545829773,0.0,-1.6772046089172363,-2.209322929382324,,,,,,,,,
6,167,,,,,,,,,,,,,,,,,,,0.3483196198940277,0.31805098056793213,0.03026866354048252,0.22449548542499542,0.43223437666893005,0.1346484124660492,0.0,-1.0623655319213867,-0.12562251091003418
6,167,,,,,,,,,,0.44657981395721436,0.3711874186992645,0.07539243251085281,0.29357805848121643,0.4837573766708374,0.2113254964351654,0.0,-1.4121557474136353,-1.897199034690857,,,,,,,,,
7,191,,,,,,,,,,,,,,,,,,,0.3123790919780731,0.283069908618927,0.029309220612049103,0.21590609848499298,0.4073318541049957,0.13311445713043213,0.0,-0.8355279564857483,-0.08982604742050171
7,191,,,,,,,,,,0.40434953570365906,0.33464884757995605,0.06970064342021942,0.28026527166366577,0.45622718334198,0.20416179299354553,0.0,-1.1744303703308105,-1.6798570156097412,,,,,,,,,
8,215,,,,,,,,,,,,,,,,,,,0.2816866636276245,0.25321996212005615,0.02846667170524597,0.20866523683071136,0.38613465428352356,0.13190968334674835,0.0,-0.6419609189033508,-0.05831895396113396
8,215,,,,,,,,,,0.36652490496635437,0.30162838101387024,0.06489650905132294,0.26828551292419434,0.43175336718559265,0.19758571684360504,0.0,-0.9621706008911133,-1.4960217475891113,,,,,,,,,
9,239,,,,,,,,,,,,,,,,,,,0.2541499435901642,0.22633327543735504,0.02781667374074459,0.20189829170703888,0.3653843402862549,0.13119062781333923,0.0,-0.46761730313301086,-0.03397873416543007
9,239,,,,,,,,,,0.3319341838359833,0.27200281620025635,0.059931378811597824,0.2563920021057129,0.40954679250717163,0.19015251100063324,0.0,-0.7662936449050903,-1.308672547340393,,,,,,,,,
10,263,,,,,,,,,,,,,,,,,,,0.2304440289735794,0.2029457688331604,0.02749827317893505,0.1961452215909958,0.34663698077201843,0.1310575008392334,0.0,-0.31596025824546814,-0.022126590833067894
10,263,,,,,,,,,,0.3027857840061188,0.24621333181858063,0.05657241865992546,0.24719282984733582,0.3904767632484436,0.1852225363254547,0.0,-0.5986213088035583,-1.1811022758483887,,,,,,,,,
11,287,,,,,,,,,,,,,,,,,,,0.21028214693069458,0.18293815851211548,0.02734399028122425,0.19146119058132172,0.33079099655151367,0.13120107352733612,0.0,-0.18622170388698578,-0.016446523368358612
11,287,,,,,,,,,,0.27664411067962646,0.2238953709602356,0.05274876207113266,0.23811380565166473,0.3739565908908844,0.17936170101165771,0.0,-0.455112099647522,-1.030798077583313,,,,,,,,,
12,311,,,,,,,,,,,,,,,,,,,0.1934058666229248,0.1661287099123001,0.027277177199721336,0.18845440447330475,0.31978002190589905,0.13165609538555145,0.0,-0.07722247391939163,-0.013997536152601242
12,311,,,,,,,,,,0.25501978397369385,0.20465928316116333,0.050360508263111115,0.23120927810668945,0.3598353862762451,0.17557841539382935,0.0,-0.3304835557937622,-0.9387513399124146,,,,,,,,,
13,335,,,,,,,,,,,,,,,,,,,0.1800163984298706,0.15277141332626343,0.027244985103607178,0.18532665073871613,0.3095146119594574,0.13161537051200867,0.0,0.009392175823450089,-0.01296607032418251
13,335,,,,,,,,,,0.23614168167114258,0.1878986954689026,0.04824298247694969,0.22480198740959167,0.34697139263153076,0.1719636768102646,0.0,-0.22124458849430084,-0.8567206859588623,,,,,,,,,
14,359,,,,,,,,,,,,,,,,,,,0.16937892138957977,0.14208972454071045,0.027289198711514473,0.1838458627462387,0.3033185303211212,0.13217391073703766,0.0,0.07865601778030396,-0.014644655399024487
14,359,,,,,,,,,,0.22172001004219055,0.17478325963020325,0.0469367653131485,0.22007282078266144,0.33652225136756897,0.16970843076705933,0.0,-0.13558487594127655,-0.8027689456939697,,,,,,,,,
15,383,,,,,,,,,,,,,,,,,,,0.16014839708805084,0.1327558308839798,0.027392549440264702,0.18208390474319458,0.2960006296634674,0.1328149139881134,0.0,0.1391807347536087,-0.018558373674750328
15,383,,,,,,,,,,0.20748277008533478,0.16245371103286743,0.04502904787659645,0.21468620002269745,0.32640618085861206,0.16636723279953003,0.0,-0.05577439069747925,-0.7301358580589294,,,,,,,,,
16,407,,,,,,,,,,,,,,,,,,,0.15366408228874207,0.12620145082473755,0.027462633326649666,0.18058867752552032,0.2900969088077545,0.1332263946533203,0.0,0.18167831003665924,-0.02124776877462864
16,407,,,,,,,,,,0.19822579622268677,0.15348631143569946,0.0447394922375679,0.2124074250459671,0.3188127279281616,0.166387140750885,0.0,0.0020756018348038197,-0.724010705947876,,,,,,,,,
17,431,,,,,,,,,,,,,,,,,,,0.148244708776474,0.12069418281316757,0.027550524100661278,0.17948950827121735,0.2855372428894043,0.1336238533258438,0.0,0.21738779544830322,-0.024572858586907387
17,431,,,,,,,,,,0.18873390555381775,0.14512689411640167,0.043606989085674286,0.20881396532058716,0.31134137511253357,0.1644708812236786,0.0,0.05647571384906769,-0.6765446662902832,,,,,,,,,
18,455,,,,,,,,,,,,,,,,,,,0.14397796988487244,0.116412453353405,0.02756550721824169,0.17816786468029022,0.28095921874046326,0.13371062278747559,0.0,0.2451505810022354,-0.02518432028591633
18,455,,,,,,,,,,0.18174415826797485,0.13894954323768616,0.04279458522796631,0.2058894783258438,0.30553677678108215,0.16279201209545135,0.0,0.0966157615184784,-0.6433551907539368,,,,,,,,,
