epoch,step,test_loss,test_loss_X,test_loss_Y,test_mae,test_mae_X,test_mae_Y,test_notears,test_r2_X,test_r2_Y,train_loss,train_loss_X,train_loss_Y,train_mae,train_mae_X,train_mae_Y,train_notears,train_r2_X,train_r2_Y,val_loss,val_loss_X,val_loss_Y,val_mae,val_mae_X,val_mae_Y,val_notears,val_r2_X,val_r2_Y
0,23,,,,,,,,,,,,,,,,,,,0.1543729454278946,0.11905268579721451,0.03532027825713158,0.19416488707065582,0.28307968378067017,0.15570923686027527,0.0,0.22801442444324493,-0.3149600028991699
0,23,,,,,,,,,,0.3025429844856262,0.1811070293188095,0.12143594771623611,0.29331734776496887,0.340877503156662,0.27274760603904724,0.0,-0.1754118800163269,-3.6904618740081787,,,,,,,,,
1,47,,,,,,,,,,,,,,,,,,,0.14463287591934204,0.11466100811958313,0.029971862211823463,0.1804831475019455,0.2707667648792267,0.14143545925617218,0.0,0.2564665973186493,-0.11466163396835327
1,47,,,,,,,,,,0.2726662755012512,0.16418105363845825,0.10848522931337357,0.27923187613487244,0.32241925597190857,0.26055335998535156,0.0,-0.06675917655229568,-3.1783647537231445,,,,,,,,,
2,71,,,,,,,,,,,,,,,,,,,0.1423523724079132,0.11235210299491882,0.030000275000929832,0.17900776863098145,0.2667575776576996,0.14105598628520966,0.0,0.2714260518550873,-0.11414282768964767
2,71,,,,,,,,,,0.2544081211090088,0.156403586268425,0.0980045422911644,0.268371045589447,0.3150292634963989,0.24819143116474152,0.0,-0.015556927770376205,-2.7735698223114014,,,,,,,,,
3,95,,,,,,,,,,,,,,,,,,,0.1407497376203537,0.1119806244969368,0.028769103810191154,0.1754693239927292,0.2650444209575653,0.13672809302806854,0.0,0.2738337814807892,-0.06687340140342712
3,95,,,,,,,,,,0.24005426466464996,0.15090437233448029,0.08914990723133087,0.2594050467014313,0.3106670677661896,0.23723424971103668,0.0,0.01809687912464142,-2.455160617828369,,,,,,,,,
4,119,,,,,,,,,,,,,,,,,,,0.14098437130451202,0.1116696298122406,0.029314732179045677,0.1770818680524826,0.26368793845176697,0.13962475955486298,0.0,0.27584946155548096,-0.09006619453430176
4,119,,,,,,,,,,0.22773613035678864,0.14691443741321564,0.08082171529531479,0.2501121461391449,0.30633488297462463,0.22579585015773773,0.0,0.043437715619802475,-2.1141793727874756,,,,,,,,,
5,143,,,,,,,,,,,,,,,,,,,0.1396431177854538,0.11227792501449585,0.027365177869796753,0.1724204570055008,0.2639342248439789,0.13284076750278473,0.0,0.27190351486206055,-0.015902448445558548
5,143,,,,,,,,,,0.2154478281736374,0.14229756593704224,0.07315025478601456,0.2416515052318573,0.3025069832801819,0.2153315544128418,0.0,0.0756443440914154,-1.8247551918029785,,,,,,,,,
6,167,,,,,,,,,,,,,,,,,,,0.13737274706363678,0.11033633351325989,0.027036413550376892,0.1715218424797058,0.26274654269218445,0.13206715881824493,0.0,0.2844972312450409,-0.004639803897589445
6,167,,,,,,,,,,0.2050919085741043,0.1380489021539688,0.0670430064201355,0.23353205621242523,0.2979792356491089,0.20565864443778992,0.0,0.10215063393115997,-1.5842303037643433,,,,,,,,,
7,191,,,,,,,,,,,,,,,,,,,0.13711462914943695,0.11036787182092667,0.026746757328510284,0.17120783030986786,0.26391735672950745,0.13111095130443573,0.0,0.28429433703422546,0.005525818560272455
7,191,,,,,,,,,,0.19684666395187378,0.1353335976600647,0.061513081192970276,0.2263229936361313,0.29501771926879883,0.19661250710487366,0.0,0.12141956388950348,-1.3757603168487549,,,,,,,,,
8,215,,,,,,,,,,,,,,,,,,,0.13742516934871674,0.11040327697992325,0.027021892368793488,0.1717437505722046,0.2628452479839325,0.13234233856201172,0.0,0.2840627133846283,-0.00467145349830389
8,215,,,,,,,,,,0.19003644585609436,0.13252533972263336,0.057511106133461,0.2204737663269043,0.29229238629341125,0.1894122064113617,0.0,0.13865959644317627,-1.21673583984375,,,,,,,,,
9,239,,,,,,,,,,,,,,,,,,,0.13654004037380219,0.10993237048387527,0.026607656851410866,0.17024816572666168,0.26250043511390686,0.1303490698337555,0.0,0.28711751103401184,0.011069237254559994
9,239,,,,,,,,,,0.1844121813774109,0.13011950254440308,0.05429266765713692,0.21594800055027008,0.2895946204662323,0.1840958297252655,0.0,0.15381154417991638,-1.0968509912490845,,,,,,,,,
10,263,,,,,,,,,,,,,,,,,,,0.13719071447849274,0.1102660670876503,0.02692463807761669,0.1706930249929428,0.26070672273635864,0.1317620873451233,0.0,0.2849520742893219,-0.00044363271445035934
10,263,,,,,,,,,,0.17949990928173065,0.1280544102191925,0.05144549161195755,0.21161705255508423,0.2874050736427307,0.17883877456188202,0.0,0.16825376451015472,-0.9930675029754639,,,,,,,,,
11,287,,,,,,,,,,,,,,,,,,,0.1355699598789215,0.10912711173295975,0.026442840695381165,0.1694875955581665,0.2619144022464752,0.12951301038265228,0.0,0.2923401892185211,0.016834476962685585
