epoch,step,test_loss,test_loss_X,test_loss_Y,test_mae,test_mae_X,test_mae_Y,test_notears,test_r2_X,test_r2_Y,train_loss,train_loss_X,train_loss_Y,train_mae,train_mae_X,train_mae_Y,train_notears,train_r2_X,train_r2_Y,val_loss,val_loss_X,val_loss_Y,val_mae,val_mae_X,val_mae_Y,val_notears,val_r2_X,val_r2_Y
0,23,,,,,,,,,,,,,,,,,,,0.3268202245235443,0.11690938472747803,0.2099108099937439,0.3833779990673065,0.27443739771842957,0.4304947853088379,0.0,0.2418464869260788,-6.8660407066345215
0,23,,,,,,,,,,0.38182973861694336,0.16050663590431213,0.22132311761379242,0.40445706248283386,0.32751208543777466,0.4377357065677643,0.0,-0.04286958649754524,-7.564260482788086,,,,,,,,,
1,47,,,,,,,,,,,,,,,,,,,0.26944655179977417,0.11007776856422424,0.15936879813671112,0.3385993540287018,0.2678067982196808,0.36921706795692444,0.0,0.28615450859069824,-4.968654155731201
1,47,,,,,,,,,,0.307702898979187,0.13731388747692108,0.17038895189762115,0.3574046194553375,0.30674469470977783,0.37931501865386963,0.0,0.10757608711719513,-5.621845722198486,,,,,,,,,
2,71,,,,,,,,,,,,,,,,,,,0.22503997385501862,0.1070614829659462,0.11797849088907242,0.29806098341941833,0.26713234186172485,0.3114376366138458,0.0,0.30572450160980225,-3.414928674697876
2,71,,,,,,,,,,0.2506558299064636,0.12657588720321655,0.12407992780208588,0.31192871928215027,0.2982623875141144,0.3178394138813019,0.0,0.17767928540706635,-3.8116824626922607,,,,,,,,,
3,95,,,,,,,,,,,,,,,,,,,0.1916319876909256,0.10476646572351456,0.08686551451683044,0.2624352276325226,0.2650391161441803,0.26130902767181396,0.0,0.3206118941307068,-2.24727463722229
3,95,,,,,,,,,,0.2061549574136734,0.12005253881216049,0.0861024484038353,0.26838207244873047,0.29252728819847107,0.25793927907943726,0.0,0.2200348824262619,-2.318282127380371,,,,,,,,,
4,119,,,,,,,,,,,,,,,,,,,0.1675260066986084,0.10310853272676468,0.06441745907068253,0.23319607973098755,0.26348820328712463,0.2200947254896164,0.0,0.3313693404197693,-1.4056090116500854
4,119,,,,,,,,,,0.17757660150527954,0.11666880548000336,0.06090778112411499,0.23449137806892395,0.2888256311416626,0.21099182963371277,0.0,0.24153463542461395,-1.355197548866272,,,,,,,,,
5,143,,,,,,,,,,,,,,,,,,,0.15201584994792938,0.10204049944877625,0.04997534677386284,0.2120152860879898,0.26238277554512024,0.1902313381433487,0.0,0.338296502828598,-0.8641135692596436
5,143,,,,,,,,,,0.1592905968427658,0.11348073929548264,0.04580983892083168,0.21032685041427612,0.28478795289993286,0.17812243103981018,0.0,0.2627483606338501,-0.7639692425727844,,,,,,,,,
