epoch,step,test_dec1_cross_entropy,test_dec1_self_entropy,test_dec2_cross_entropy,test_dec2_self_entropy,test_loss,test_loss_X,test_loss_Y,test_mae,test_mae_X,test_mae_Y,test_notears,test_r2_X,test_r2_Y,train_dec1_cross_entropy,train_dec1_self_entropy,train_dec2_cross_entropy,train_dec2_self_entropy,train_loss,train_loss_X,train_loss_Y,train_mae,train_mae_X,train_mae_Y,train_notears,train_r2_X,train_r2_Y,val_dec1_cross_entropy,val_dec1_self_entropy,val_dec2_cross_entropy,val_dec2_self_entropy,val_loss,val_loss_X,val_loss_Y,val_mae,val_mae_X,val_mae_Y,val_notears,val_r2_X,val_r2_Y
0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4592469334602356,0.0,-0.1878264844417572,0.0,2327.1640625,0.031544286757707596,0.024814996868371964,0.1356493979692459,0.1439584493637085,0.1273403763771057,0.0,-0.2786591351032257,-0.0200144425034523
0,199,,,,,,,,,,,,,,-0.5550507307052612,0.0,-0.010077467188239098,0.0,107.46707153320312,0.11207109689712524,0.04812086001038551,0.2131415158510208,0.2553976774215698,0.1708851009607315,0.0,-3.7458934783935547,-1.036596655845642,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35361748933792114,0.0,-0.5878929495811462,0.0,2106.398681640625,0.028015680611133575,0.025359053164720535,0.13231074810028076,0.13589929044246674,0.1287222057580948,0.0,-0.1341542899608612,-0.042447272688150406
1,399,,,,,,,,,,,,,,-0.24275663495063782,0.0,-0.42518454790115356,0.0,117.24629211425781,0.04663670063018799,0.03226770460605621,0.15768127143383026,0.17125216126441956,0.14411033689975739,0.0,-0.9414650797843933,-0.3559815585613251,,,,,,,,,,,,,
2,599,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14801174402236938,0.0,-0.5927873849868774,0.0,1621.09228515625,0.027202144265174866,0.025168070569634438,0.13096529245376587,0.133734792470932,0.12819577753543854,0.0,-0.10060563683509827,-0.03470717743039131
2,599,,,,,,,,,,,,,,-0.027451753616333008,0.0,-0.5223051905632019,0.0,103.78275299072266,0.03670766204595566,0.029690617695450783,0.14596815407276154,0.15318089723587036,0.13875547051429749,0.0,-0.5127520561218262,-0.24374714493751526,,,,,,,,,,,,,
3,799,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3715577721595764,0.0,-0.5739421248435974,0.0,1621.4627685546875,0.024671340361237526,0.02476453222334385,0.12724533677101135,0.1273559182882309,0.12713474035263062,0.0,0.0024207925889641047,-0.018287964165210724
3,799,,,,,,,,,,,,,,0.17731405794620514,0.0,-0.4862847924232483,0.0,83.34245300292969,0.03235267102718353,0.02833040989935398,0.1398235559463501,0.1443941742181778,0.1352529525756836,0.0,-0.3379766047000885,-0.18826711177825928,,,,,,,,,,,,,
4,999,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40569645166397095,0.0,-0.6457622647285461,0.0,1478.66552734375,0.026014216244220734,0.024862393736839294,0.12912872433662415,0.13079619407653809,0.12746122479438782,0.0,-0.05032120645046234,-0.022153232246637344
4,999,,,,,,,,,,,,,,0.23746581375598907,0.0,-0.42921820282936096,0.0,76.7943344116211,0.029611844569444656,0.02782733179628849,0.1366271823644638,0.13873538374900818,0.1345188468694687,0.0,-0.21998505294322968,-0.16451367735862732,,,,,,,,,,,,,
